Ticker,PE_Ratio,Volatility,Market_Cap,YTD_Performance
CVX,17.147093,0.18993242548310552,278509944832,9.621057343064688
BA,,0.3435261723440721,124167290880,-33.25020976768689
GM,5.5538955,0.3184906825403491,57223184384,55.71515190531697
C,20.501425,0.26453867115752383,136095072256,49.72949860226987
BAC,16.695652,0.23610809840340008,353566326784,49.90241435964244
T,19.08943,0.20398461942533258,168475803648,43.08348422038024
CAT,18.053389,0.26741385833560943,187747205120,48.74727690462588
F,11.829545,0.36858019075986903,41372356608,-6.720430199413641
DIS,42.13603,0.26053421566518176,207551840256,25.848249691896275
DE,17.480688,0.24027433981963403,122581008384,24.664008602901433
